date,start_date,champion,to,tournament,score,end_date,reign_days,reign_matches
20170828,2017-08-28,Thanasi Kokkinakis,Janko Tipsarevic,US Open,6-7(5) 3-6 6-1 7-6(2) 6-3,2019-01-14,504,11
19940704,1994-07-04,Christian Bergstrom,Mikael Tillstrom,Bastad,6-2 2-6 7-5,1995-05-29,329,13
20200106,2020-01-06,Denis Shapovalov,Novak Djokovic,Atp Cup,4-6 6-1 7-6(4),2020-08-31,238,13
20231016,2023-10-16,David Goffin,Giovanni Mpetshi Perricard,Antwerp,7-5 6-3,2024-05-27,224,11
19751005,1975-10-05,Manuel Orantes,Vladimir Zednik,Aviles,6-1 3-6 6-3,1976-05-04,212,44
19840917,1984-09-17,Brad Gilbert,John McEnroe,San Francisco,6-4 6-4,1985-04-08,203,51
20060828,2006-08-28,Andy Roddick,Roger Federer,US Open,6-2 4-6 7-5 6-1,2007-03-05,189,31
19711018,1971-10-18,Fred Stolle,Martin Mulligan,Barcelona WCT,6-4 6-3,1972-04-08,173,22
19740513,1974-05-13,Marty Riessen,Rod Laver,Las Vegas,6-2 6-2,1974-10-29,169,43
20021007,2002-10-07,Gustavo Kuerten,Paul Henri Mathieu,Lyon,4-6 6-3 6-1,2003-03-17,161,28
